player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,2328,1140,-2.442185450516456,.6147462698528313,-1.827439180663625,1.583629840987693,-3.74489741549384,-2.161267574506146,-1.771007011181354,-.2738114451640712,-2.044818456345425,.4062636982660605,.4062636982660605,0,-1.867234876571328,-.1725272228688766,-2.039762099440205,-.9571927300094519
Steven Adams,adamsst01,2023,RS,MEM,2391,1133,-.5378602393993211,4.168618357352472,3.630758117953151,4.198002520134714,.1766083843332054,4.374610904467919,.4177943101811009,3.544043527844543,3.961837838025644,3.888975700345369,3.888975700345369,0,.0274533937620577,3.561845741992635,3.589299135754692,.2381301107135397
Bam Adebayo,adebaba01,2023,PO,MIA,1196,598,-1.410375579119556,1.993773273310376,.5833976941908199,.450709659603729,3.207652990756479,3.658362650360208,-1.189296615111924,2.341971359613539,1.152674744501615,1.220873349140669,0,1.220873349140669,.2053986911228289,1.706417665551659,1.911816356674488,-.5750915441684703
Bam Adebayo,adebaba01,2023,RS,MIA,5252,2598,-1.856877730389696,2.663517325430549,.8066395950408534,1.911820979552082,2.214193591905428,4.126014571457509,-1.149779110493133,2.718956755542137,1.569177645049004,5.699430209893962,5.699430209893962,0,-.9479178404750078,2.656941150972498,1.70902331049749,-.4520027237100789
Ochai Agbaji,agbajoc01,2023,RS,UTA,2604,1209,-1.327254241437437,-2.192473131274672,-3.519727372712109,.6352401821650093,-.5608781440766692,.0743620380883401,-1.013993168495292,-1.9580438466907,-2.972037015185992,-.1372519198603649,-.1372519198603649,0,-1.153008075118775,-2.501529784574688,-3.654537859693463,.2155083210648211
Santi Aldama,aldamsa01,2023,PO,MEM,216,101,1.150807153611884,-4.849378462810842,-3.698571309198958,3.676427968586446,-11.25741711301743,-7.580989144430987,1.848313360002537,-6.502892906339879,-4.654579546337342,-.1007872131496035,0,-.1007872131496035,.5970719204547414,-7.738366034564949,-7.141294114110208,-.4221677326226844
Santi Aldama,aldamsa01,2023,RS,MEM,3608,1682,-1.155267753736223,-.139495493347288,-1.294763247083511,-.4048151757531953,-.7404741818659479,-1.145289357619143,-1.075199683278479,-.3243577219190881,-1.399557405197567,1.158717141471931,1.158717141471931,0,-1.354631367720185,.285364456853821,-1.069266910866364,-.0151383819514901
Nickeil Alexander-Walker,alexani01,2023,PO,MIN,292,148,-.0580236957121396,9.110145735800101,9.052122040087962,1.496400710999351,13.30174485675944,14.7981455677588,.3031858041688399,10.6029041021783,10.90608990634714,1.058158849510814,0,1.058158849510814,-1.235025849625241,12.42367878549499,11.18865293586975,-.4948747723548345
Nickeil Alexander-Walker,alexani01,2023,RS,MIN,771,356,-.6502911726257596,2.232058262632519,1.581767090006759,-.6604776836047637,-1.173318190799032,-1.833795874403796,-.6819922424981323,1.642253552160353,.9602613096622205,.674160042756055,.674160042756055,0,-.9613285261484411,.7728793897990389,-.1884491363494022,.0390658783331186
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,1122,528,.2968800990901623,4.074838252018199,4.371718351108361,-2.342296133750431,1.783750692498246,-.5585454412521844,-.2511496813627166,3.878404164528503,3.627254483165787,1.734042088084307,1.734042088084307,0,.6877282617953674,2.867919606487952,3.55564786828332,.946012679388029
Grayson Allen,allengr01,2023,PO,MIL,320,149,2.019602513556844,-2.106161844743979,-.0865593311871349,5.077081552989242,-2.779204184449417,2.297877368539825,2.746473883134531,-2.283231738306116,.4632421448284152,.2530487457489037,0,.2530487457489037,2.219133675180446,-4.773449573625751,-2.554315898445305,.4371314054773959
Grayson Allen,allengr01,2023,RS,MIL,4214,1972,-.2085237888685785,.4336450680070718,.2251212791384933,.168709555123708,-.3240116490420799,-.1553020939183719,-.1398538217886661,.2447882536505468,.1049344318618808,2.883032062597781,2.883032062597781,0,.1143653136509564,.3617071288853446,.476072442536301,.3739324187631365
Jarrett Allen,allenja01,2023,PO,CLE,364,191,-1.641559389845927,1.321022218568857,-.3205371712770704,9.004779456207853,-4.915408171371439,4.089371284836414,.5509687571061259,.0298218623841733,.5807906194902992,.3271015629004436,0,.3271015629004436,-1.906433201594128,-.7069897196283639,-2.613422921222492,-2.252344641559046
Jarrett Allen,allenja01,2023,RS,CLE,4469,2220,-1.313838088826941,1.664568545588229,.3507304567612874,2.828671243024286,2.217412920277005,5.046084163301291,-.5430845262584324,1.817542684271861,1.274458158013429,4.538343780223171,4.538343780223171,0,-.227463723151316,2.532368029585145,2.304904306433829,-.4414117167819976
Jose Alvarado,alvarjo01,2023,RS,NOP,2778,1310,.0363113354800214,1.399322735692163,1.435634071172185,-.6800819533991193,3.38411387335045,2.704031919951331,-.1066333750595293,1.869181886642732,1.762548511583203,3.025631686008987,3.025631686008987,0,-.4338419211613213,1.928472168970135,1.494630247808814,.32179999045795
Kyle Anderson,anderky01,2023,PO,MIN,214,104,-1.727083505107059,-.347126483824828,-2.074209988931887,-7.58530217954116,-1.461351701459231,-9.046653881000392,-3.013377103325234,-.5494149940702118,-3.562792097395446,-.0451624393619345,0,-.0451624393619345,-3.632527766456499,2.67850302617901,-.9540247402774886,1.51108170709458
