player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.442185450516456,.6147462698528313,-1.827439180663625,1.583629840987693,-3.74489741549384,-2.161267574506146,-1.771007011181354,-.2738114451640712,-2.044818456345425,.4062636982660605,.4062636982660605,0,-1.867234876571328,-.1725272228688766,-2.039762099440205,-.9571927300094519
Steven Adams,adamsst01,2023,2391,1133,-.5378602393993211,4.168618357352472,3.63075811795315,4.198002520134714,.1766083843332054,4.374610904467919,.4177943101811009,3.544043527844543,3.961837838025644,3.888975700345369,3.888975700345369,0,.0274533937620577,3.561845741992635,3.589299135754692,.2381301107135397
Bam Adebayo,adebaba01,2023,6448,3196,-1.774058782976686,2.539290606085678,.7652318231089923,1.640808396013274,2.398464286853607,4.039272682866881,-1.157108970220812,2.649032045006994,1.491923074786182,6.920303559034631,5.699430209893962,1.220873349140669,-.733996225743151,2.480634375450891,1.74663814970774,-.4748337146015548
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.327254241437437,-2.192473131274672,-3.519727372712109,.6352401821650093,-.5608781440766692,.0743620380883401,-1.013993168495292,-1.9580438466907,-2.972037015185992,-.1372519198603649,-.1372519198603649,0,-1.153008075118775,-2.501529784574688,-3.654537859693463,.2155083210648211
Santi Aldama,aldamsa01,2023,3824,1783,-1.025008292442502,-.4055349079404176,-1.430543200382919,-.1742847052570231,-1.334527443667392,-1.508812148924415,-.9100640092856185,-.6733544791980868,-1.583418488483705,1.057929928322328,1.158717141471931,-.1007872131496035,-1.244388713367208,-.1678588135819672,-1.412247526949176,-.0381295795835451
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-.0847679368710496,4.097504802795296,4.012736865924246,-1.235851509618053,2.279564965698277,1.043713456080225,-.3290964332438109,3.988006846294131,3.65891041305032,3.466360980351176,2.408202130840363,1.058158849510814,-.1511124631654994,3.405679639990425,3.254567176824926,.4334291006593095
Grayson Allen,allengr01,2023,4534,2121,-.0512674111058667,.2543909409492119,.2031235298433453,.5151319281534765,-.4972938747435242,.0178380534099525,.0638569999086041,.0663660221935261,.1302230221021302,3.136080808346684,2.883032062597781,.2530487457489037,.2629153524002807,-.0007212224167177,.262194129983563,.3783928677592907
Jarrett Allen,allenja01,2023,4833,2411,-1.338520595255849,1.638694168796371,.3001735735405214,3.293828162039147,1.680200655149748,4.974028817188895,-.4606853135241681,1.682899526985059,1.22221421346089,4.865445343123614,4.538343780223171,.3271015629004436,-.3539162143893014,2.28839405468059,1.934477840291288,-.5778031061092985
Jose Alvarado,alvarjo01,2023,2778,1310,.0363113354800214,1.399322735692163,1.435634071172185,-.6800819533991193,3.38411387335045,2.704031919951331,-.1066333750595293,1.869181886642732,1.762548511583203,3.025631686008987,3.025631686008987,0,-.4338419211613213,1.928472168970135,1.494630247808813,.32179999045795
Kyle Anderson,anderky01,2023,4359,2061,-.0789295930708533,1.252676614132885,1.173747021062032,1.529811325571217,.409309120557089,1.939120446128307,.2675500918895379,1.144073944208311,1.411624036097849,4.349260568793931,4.394423008155866,-.0451624393619345,-.4307209159231598,1.307805690929447,.8770847750062873,-.3005424951394116
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.374414097783336,1.933473488268045,5.307887586051381,2.646707588234026,1.836421403567219,4.483128991801245,3.399354735378338,1.982844170119093,5.382198905497432,8.925695402567111,9.31136993169725,-.3856745291301389,3.453368552787142,1.23311949512981,4.686488047916953,1.63139206628734
Thanasis Antetokounmpo,antetth01,2023,460,211,-5.63011475409882,-3.922618932822384,-9.552733686921203,-9.565453106504334,-8.886252224498202,-18.45170533100254,-6.778166169745655,-5.231045308552542,-12.0092114782982,-.9909055715114194,-.9463471559011846,-.0445584156102349,-5.483020871833336,-5.54175850299959,-11.02477937483293,-.6896595813802328
Cole Anthony,anthoco01,2023,3230,1552,1.927368666379628,-.5835008433487378,1.34386782303089,1.711614096839179,.2284834764944203,1.940097573333599,2.041775688413272,-.4502653780709152,1.591510310342356,3.41092758656728,3.41092758656728,0,1.474027036170104,-.381453400522683,1.092573635647421,-.7872224146117127
O.G. Anunoby,anunoog01,2023,4888,2386,-.8606903586508688,1.898974618765763,1.038284260114894,-.2265522935323964,2.824466074926734,2.597913781394338,-.7929789612535307,2.203358607905041,1.41037964665151,5.084224218062691,5.084224218062691,0,.0964755202847723,2.942758285649851,3.039233805934624,.3913986993495615
Ryan Arcidiacono,arcidry01,2023,375,172,-7.084095192227181,2.302424602463941,-4.781670589763241,-10.7804806047806,6.764626586405701,-4.015854018374901,-8.301902596138696,3.428048227700572,-4.873854368438123,-.1853921772751677,-.1853921772751677,0,-6.907385667589556,1.617636312380588,-5.289749355208969,-.5033027112992988
Deni Avdija,avdijde01,2023,4198,2020,-1.923124758837412,.9581092019645838,-.9650155568728278,-.608465505157698,-.1744911968736981,-.7829567020313961,-1.765480343205575,.7950845574494463,-.9703957857561287,1.834773068829057,1.834773068829057,0,-1.5385236778569,1.228861553181832,-.3096621246750688,.0388447657454081
Deandre Ayton,aytonde01,2023,4842,2354,-2.293613830449125,.0949526314102393,-2.198661199038885,-2.192245676269307,-1.793911681056492,-3.986157357325798,-2.420058004361135,-.3135172749480495,-2.733575279309184,.0113100978667813,.3765958770108775,-.3652857791440962,-2.320469588208156,.1028958023984758,-2.21757378580968,-.5227054242449947
